final_cost=106 | time=0.012031793594360352 | route=[4, 3, 16, 7, 8, 14, 6, 5, 15, 11, 0, 12, 9, 1, 10, 13, 2] | tabu_value=3 | iter_number=10
final_cost=50 | time=0.012501001358032227 | route=[2, 13, 9, 12, 10, 1, 14, 6, 3, 4, 8, 16, 7, 15, 5, 0, 11] | tabu_value=3 | iter_number=10
final_cost=126 | time=0.010498523712158203 | route=[2, 7, 4, 3, 5, 6, 0, 11, 13, 9, 16, 8, 12, 1, 10, 14, 15] | tabu_value=3 | iter_number=10
final_cost=56 | time=0.011998891830444336 | route=[5, 14, 15, 0, 11, 1, 10, 13, 2, 9, 12, 8, 7, 4, 3, 6, 16] | tabu_value=3 | iter_number=10
final_cost=40 | time=0.012998819351196289 | route=[13, 2, 1, 9, 12, 0, 11, 8, 7, 16, 4, 3, 5, 15, 6, 14, 10] | tabu_value=3 | iter_number=10
final_cost=44 | time=0.01299905776977539 | route=[10, 1, 12, 9, 2, 13, 0, 16, 7, 8, 6, 14, 5, 4, 3, 15, 11] | tabu_value=3 | iter_number=10
final_cost=39 | time=0.011986255645751953 | route=[9, 1, 12, 2, 13, 0, 11, 15, 14, 5, 6, 3, 4, 7, 16, 8, 10] | tabu_value=3 | iter_number=10
final_cost=55 | time=0.011498451232910156 | route=[13, 10, 14, 15, 5, 6, 3, 4, 16, 8, 12, 2, 0, 11, 7, 1, 9] | tabu_value=3 | iter_number=10
final_cost=40 | time=0.010506391525268555 | route=[1, 2, 13, 9, 10, 12, 11, 0, 7, 16, 8, 4, 3, 15, 6, 5, 14] | tabu_value=3 | iter_number=10
final_cost=44 | time=0.011000394821166992 | route=[5, 14, 3, 4, 15, 6, 9, 1, 13, 2, 12, 10, 16, 7, 8, 11, 0] | tabu_value=3 | iter_number=10
final_cost=55 | time=0.012000799179077148 | route=[6, 15, 5, 11, 16, 7, 8, 3, 4, 14, 10, 1, 12, 9, 2, 13, 0] | tabu_value=3 | iter_number=10
final_cost=102 | time=0.010498285293579102 | route=[6, 14, 16, 8, 7, 10, 12, 9, 1, 13, 11, 5, 4, 3, 15, 0, 2] | tabu_value=3 | iter_number=10
final_cost=60 | time=0.011995077133178711 | route=[9, 15, 5, 8, 0, 11, 13, 2, 10, 1, 12, 14, 6, 3, 4, 7, 16] | tabu_value=3 | iter_number=10
